level,date,description,points,total
141,11/9/2024,Fantasy Reward: Top 10 percent,"18,000",141100
123,10/9/2024,Won Turbo Match,150,123100
122,10/9/2024,Won Turbo Match,150,122950
122,10/9/2024,First Win of the Day,"1,500",122800
121,10/9/2024,Won Turbo Match,150,121300
121,9/9/2024,First Win of the Day,"1,500",121150
119,9/9/2024,Won Turbo Match,150,119650
119,9/9/2024,Bingo Reward,750,119500
118,9/9/2024,Bingo Reward,750,118750
118,9/9/2024,Bingo Reward,750,118000
117,9/9/2024,Bingo Reward,750,117250
116,9/91/2024,Bingo Reward,750,116500
115,9/9/2024,Bingo Reward,750,115750
115,9/9/2024,Bingo Reward,750,115000
114,9/9/2024,Bingo Reward,750,114250
113,8/9/2024,Lost Turbo Match,50,113500
113,8/9/2024,First Win of the Day,"1,500",113450
111,8/9/2024,Won Turbo Match,150,111950
111,7/9/2024,Won Turbo Match,150,111800
111,7/9/2024,Won Turbo Match,150,111650
111,7/9/2024,First Win of the Day,"1,500",111500
110,71912024,Won Turbo Match,150,110000
109,7/9/2024,Won Turbo Match,150,109850
109,7/9/2024,Lost Turbo Match,50,109700
109,6/9/2024,First Win of the Day,"1,500",109650
108,6/9/2024,Won Turbo Match,150,108150
108,6/9/2024,Bingo Reward,750,108000
107,6/9/2024,Bingo Reward,750,107250
106,6/9/2024,Bingo Reward,750,106500
105,6/9/2024,Bingo Reward,750,105750
105,6/9/2024,Bingo Reward,750,105000
104,6/9/2024,Bingo Reward,750,104250
103,6/9/2024,Bingo Reward,750,103500
102,6/9/2024,Bingo Reward,750,102750
1UzZ,6/9/2024,Bingo Reward,750,102000
101,6/9/2024,Bingo Reward,750,101250
1U0U,6/9/2024,Bingo Reward,750,100500
99,6/9/2024,Bingo Reward,750,99750
99,6/9/2024,Fantasy Reward: Top 1 percent,"25,000",99000
74,5/9/2024,First Win of the Day,450,74000
73,5/9/2024,Won Turbo Match,150,73550
73,4/9/2024,Lost Turbo Match,50,73400
73,4/9/2024,Lost Turbo Match,50,73350
73,4/9/2024,Lost Turbo Match,50,73300
73,4/9/2024,First Win of the Day,"1,500",73250
71,4/9/2024,Won Turbo Match,150,71750
71,4/9/2024,Lost Turbo Match,50,71600
71,3/9/2024,Won Turbo Match,150,71550
71,3/9/2024,First Win of the Day,"1,500",71400
69,3/9/2024,Won Turbo Match,150,69900
69,3/9/2024,Lost Turbo Match,50,69750
69,2/9/2024,Won Turbo Match,150,69700
6y,2/9/2024,Lost Turbo Match,50,69550
69,2/9/2024,First Win of the Day,"1,500",69500
68,2/9/2024,Won Turbo Match,150,68000
67,2/9/2024,Lost Turbo Match,50,67850
67,1/9/2024,Won Turbo Match,150,67800
67,1/9/2024,Won Turbo Match,150,67650
67,1/9/2024,First Win of the Day,"1,500",67500
66,1/9/2024,Won Turbo Match,150,66000
65,79/2024,Lost Turbo Match,50,65850
65,31/8/2024,Won Turbo Match,150,65800
65,31/8/2024,Lost Turbo Match,50,65650
65,31/8/2024,Won Turbo Match,150,65600
65,31/8/2024,First Win of the Day,"1,500",65450
63,31/8/2024,Won Turbo Match,150,63950
63,30/8/2024,Won Turbo Match,150,63800
63,30/8/2024,First Win of the Day,"1,500",63650
62,30/8/2024,Won Turbo Match,150,62150
62,28/8/2024,First Win of the Day,"1,500",62000
6U,28/8/2024,Won Turbo Match,150,60500
60,28/8/2024,Lost Turbo Match,50,60350
60,27/8/2024,Won Turbo Match,150,60300
60,27/8/2024,Won Turbo Match,150,60150
60,27/8/2024,First Win of the Day,"1,500",60000
58,27/8/2024,Won Turbo Match,150,58500
58,26/8/2024,Won Turbo Match,150,58350
58,26/8/2024,First Win of the Day,"1,500",58200
56,26/8/2024,Won Turbo Match,150,56700
56,26/8/2024,Lost Turbo Match,50,56550
56,26/8/2024,Lost Turbo Match,50,56500
56,26/8/2024,Lost Turbo Match,50,56450
56,25/8/2024,Lost Turbo Match,50,56400
56,25/8/2024,Lost Turbo Match,50,56350
56,25/8/2024,First Win of the Day,"1,500",56300
54,25/8/2024,Won Turbo Match,150,54800
54,25/8/2024,Lost Turbo Match,50,54650
54,25/8/2024,Lost Turbo Match,50,54600
54,25/8/2024,Lost Turbo Match,50,54550
54,24/8/2024,Lost Turbo Match,50,54500
54,24/8/2024,Won Turbo Match,150,54450
54,24/8/2024,Won Turbo Match,150,54300
54,24/8/2024,Won Turbo Match,150,54150
54,24/8/2024,Lost Turbo Match,50,54000
53,24/8/2024,Lost Turbo Match,50,53950
53,24/8/2024,Lost Turbo Match,50,53900
53,24/8/2024,Won Turbo Match,150,53850
53,24/8/2024,Lost Turbo Match,50,53700
53,24/8/2024,First Win of the Day,"1,500",53650
52,24/8/2024,Won Turbo Match,150,52150
52,23/8/2024,Lost Turbo Match,50,52000
51,23/8/2024,Lost Turbo Match,50,51950
51,23/8/2024,Lost Turbo Match,50,51900
51,23/8/2024,Won Turbo Match,150,51850
51,23/8/2024,First Win of the Day,"1,500",51700
50,23/8/2024,Won Turbo Match,150,50200
50,23/8/2024,Lost Turbo Match,50,50050
50,23/8/2024,Activated Compendium,"50,000",50000
